id,group,question,option 1,option 2,option 3,option 4,correct a,difficulty,correct
1,תחבורה,באיזו מדינה נוהגים בצד שמאל של הכביש?,צרפת,ארה״ב,מלטה,בכולן נוהגים בימין,מלטה,2,2
2,תחבורה,כולם פה נוהגים בצד שמאל של הכביש! איפה אני נמצא? ,מלטה,דרום אפריקה,אוסטרליה,אי אפשר לדעת,אי אפשר לדעת,2,3
3,תחבורה,כולם פה נוהגים בצד שמאל של הכביש! איפה אני לא נמצא? ,שוויץ,יפן,הודו,בכולן נוהגים בשמאל,שוויץ,2,0
4,תזונה ובריאות,באיזה מהמאכלים הבאים יש הכי הרבה ברזל (לכמות של 100 גרם)?,עדשים מבושלות,כבד עוף,תרד מבושל,בקר טחון,כבד עוף,2,1
5,תזונה ובריאות,איזה מהמאכלים הבאים עשיר ביותר בויטמין C (לכמות של 100 גרם)?,תפוז,פלפל אדום,קיווי,ברוקולי מבושל,פלפל אדום,4,1
6,תזונה ובריאות,איזה מהמאכלים הבאים הוא מקור מצוין לחומצות שומן אומגה 3?,סלמון,עוף,אבוקדו,יוגורט,סלמון,2,0
7,תזונה ובריאות,איזה מהמזונות הבאים עשיר ביותר בסידן?,טחינה משומשום מלא,יוגורט טבעי,שקדים,תרד מבושל,טחינה משומשום מלא,2,0
8,תזונה ובריאות,"איזה מהמשקאות הבאים מכיל הכי הרבה קפאין ל-100 מ""ל?",קולה,תה ירוק,תה שחור,אספרסו,אספרסו,2,3
9,תזונה ובריאות,נכון או לא נכון: פחית קולה רגילה מכילה יותר קפאין מאספרסו קצר.,נכון,לא נכון,,,לא נכון,3,1
10,תזונה ובריאות,נכון או לא נכון: בגזר מבושל יש יותר בטא-קרוטן מאשר בגזר חי.,נכון,לא נכון,,,נכון,2,0
11,תזונה ובריאות,נכון או לא נכון: שתיית מים עם לימון שורפת שומן.,נכון,לא נכון,,,לא נכון,2,1
12,תזונה ובריאות,נכון או לא נכון: ב-100 גרם שקדים יש יותר סידן מאשר ב100 גרם יוגורט טבעי.,נכון,לא נכון,,,נכון,3,0
13,תזונה ובריאות,"בכמות של 100 גרם, באיזה מזון יש יותר חלבון?",ביצה קשה,עדשים מבושלות,,,ביצה קשה,3,0
14,תזונה ובריאות,"בכמות של 100 גרם, באיזה מזון יש יותר ויטמין C?",פלפל אדום טרי,תפוז,,,פלפל אדום טרי,2,0
15,תזונה ובריאות,"בכמות של 100 גרם, באיזה מזון יש הכי הרבה סיבים תזונתיים?",אבוקדו,אורז מלא,לחם שיפון מלא,אגסים (עם קליפה),אבוקדו,4,0
16,תזונה ובריאות,"בכמות של 100 גרם, איזה מהמזונות מכיל הכי הרבה שומן רווי?",חמאה,שמן קוקוס,גבינה צהובה,בשר בקר שומני,שמן קוקוס,3,1
17,חשבון,"מהו המספר הבא בסדרה: 5, 10, 20, 40, __?",60,80,100,120,80,2,1
18,לוגיקה,ציפור היא לנוצות כמו כלב הוא ל-?,ציפורניים,פרווה,שיניים,זנב,פרווה,2,1
19,חשבון,"חנות נותנת 25% הנחה. אם מחיר מוצר לאחר הנחה הוא 60 ש""ח, מה המחיר המקורי?","72 ש""ח","75 ש""ח","80 ש""ח","85 ש""ח","80 ש""ח",4,2
20,חשבון,"מהו המספר הבא בסדרה: 3, 6, 12, 24, __?",36,48,60,72,48,3,1
21,חשבון,"חנות מוכרת ספרים ב-20% הנחה. אם מחיר הספר לאחר ההנחה הוא 80 ש""ח, מהו המחיר המקורי?",96,100,104,110,100,4,1
22,חשבון,"מהו המספר הבא בסדרה: 2, 4, 6, 8, __?",10,12,14,16,10,2,0
23,מדע וטבע,"איזו חיה יוצאת דופן? יגואר, נמר, אריה, תנין",יגואר,נמר,אריה,תנין,תנין,1,3
24,לוגיקה,בית הוא לחלון כמו מכונית היא ל-?,גלגל,דלת,מנוע,מראה,דלת,2,1
25,חשבון,"אם השעה 3:00, כמה תהיה בעוד 4 שעות?",0.25,0.2916666667,0.3333333333,0.375,0.2916666667,1,1
26,גאוגרפיה,איזו עיר יוצאת דופן? ,לונדון,פריז,רומא,בלגרד,בלגרד,2,3
27,חשבון,"מהו המספר החסר? 1, 3, 6, __, 15",8,9,10,11,10,3,2
28,לוגיקה,ציפור היא לשמיים כמו דג הוא ל-?,יער,ים,חוף,שונית,ים,1,1
29,לוגיקה,איזו מילה יוצאת דופן?,שמש,ירח,כוכב,ענן,ענן,2,3
30,חשבון,"מהו המספר הבא? 5, 10, 20, 40, __?",60,80,100,120,80,2,1
31,מדע וטבע,איזו חיה שונה? ,זאב,שועל,כלב,חתול,חתול,1,3
32,חשבון,"חנות נותנת 20% הנחה. מחיר לאחר הנחה: 80 ש""ח. מה המחיר המקורי?","96 ש""ח","100 ש""ח","104 ש""ח","108 ש""ח","100 ש""ח",3,1
33,חשבון,"שמלה עולה 180, כמה תעלה אחרי 20% הנחה?",144,170,162,130,144,4,0
34,חשבון,כמה זה 30% הנחה מ-200 ש״ח?,80,60,66,100,60,2,1
35,גאוגרפיה,איזו עיר שונה?,טוקיו,סיאול,בנגקוק,דובאי,דובאי,2,3
36,חשבון,"מהו המספר החסר? 2, 5, 11, __, 32",14,16,18,20,20,4,3
37,מדע וטבע,איזו מילה שונה? ,תפוח,בננה,מלון,גזר,גזר,1,3
38,מדע וטבע,מה מהבאים אינו פרי?,עגבניה,אבוקדו,זית,כולם פירות,כולם פירות,2,3
39,חשבון,"מהו המספר הבא? 3, 6, 12, 24, __?",36,48,60,72,48,2,1
40,חשבון,איזה מספר יוצא דופן?,6,12,16,7,7,2,3
41,חשבון,איזה מספר יוצא דופן?,9,27,21,43,43,3,3
42,חשבון,האם 260 מתחלק ב-3 ללא שארית?,כן,לא,,,לא,3,1
43,חשבון,"אם 3 עובדים סיימו עבודה ב-6 ימים, כמה ימים ייקח ל-2 עובדים?",7,8,9,10,9,3,2
44,גאוגרפיה,איזו עיר שונה?,ניו יורק,לוס אנג'לס,שיקגו,טורונטו,טורונטו,2,3
45,חשבון,"מהו המספר החסר? 4, 7, 13, __, 49",18,20,25,31,25,4,2
46,מדע וטבע,איזו מילה שונה?,זהב,כסף,ברונזה,עץ,עץ,1,3
47,ספורט,מי לא מתאים?,כדורגל,כדורסל,טניס,שחייה,שחייה,1,3
48,גאוגרפיה,איזו מדינה שונה?,ספרד,איטליה,יוון,יפן,יפן,2,3
49,גאוגרפיה,מי יוצאת דופן? ,ישראל,ספרד,יוון,יפן,ספרד,2,1
50,מדע וטבע,איזה צבע שונה? ,אדום,כתום,צהוב,חום,חום,3,3
51,מדע וטבע,איזה צבע שונה? ,אדום,כחול,ירוק,צהוב,ירוק,2,2
52,מדע וטבע,איזו חיה לא שייכת?,כלב,חתול,ארנב,נחש,נחש,2,3
53,גאוגרפיה,איזו עיר לא מתאימה? ,ברלין,וינה,ז'נבה,מוסקבה,מוסקבה,3,3
54,גאוגרפיה,"איזו מדינה שונה? קנדה, אוסטרליה, ניו זילנד, הולנד",קנדה,אוסטרליה,ניו זילנד,הולנד,הולנד,3,3
55,לוגיקה,אלקטרון הוא לאטום כמו כוכב הוא ל-?,שמש,גלקסיה,ירח,חלל,גלקסיה,3,1
56,גאוגרפיה,"מי ממשיך את הרשימה? נילוס, אמזונס, יאנגצה, __?",מיסיסיפי,דנובה,גנגס,וולגה,מיסיסיפי,4,0
57,תחבורה,איזו יצרנית רכב יוצאת דופן?,Volkswagen,BMW,Mercedes-Benz,Ford,Ford,4,3
58,אנטומיה,מה מהבאים אינו מרכיב את השן?,אמייל,דנטין,צמנטום,עצם,עצם,3,3
59,גאוגרפיה,איזה אוקיינוס הכי גדול?,האטלנטי,השקט,ההודי,הדרומי,השקט,3,1
60,לוגיקה,סימפוניה היא למוזיקה כמו מבנה פרמטרי הוא ל-?,מוזיקה,אדריכלות,פיסול,תיאטרון,אדריכלות,3,1
61,מדע וטבע,איזה יסוד שונה?,חמצן,חנקן,פחמן,זהב,זהב,2,3
62,גאוגרפיה,מהי עיר הבירה של אוסטרליה?,סידני,מלבורן,קנברה,בריסביין,קנברה,2,2
63,גאוגרפיה,באיזו יבשת נמצאת פרגוואי?,דרום אמריקה,אפריקה,אסיה,אירופה,דרום אמריקה,1,0
64,גאוגרפיה,איזו מדינה היא הגדולה ביותר בעולם בשטחה?,קנדה,רוסיה,סין,"ארה""ב",רוסיה,1,1
65,גאוגרפיה,נכון או לא נכון: נהר האמזונס עובר גם בקולומביה.,נכון,לא נכון,,,נכון,3,0
66,גאוגרפיה,איזו מדינה שוכנת בין ספרד לצרפת?,אנדורה,לוקסמבורג,סן מרינו,מונקו,אנדורה,3,0
67,גאוגרפיה,מהי עיר הבירה של איטליה?,מילאנו,רומא,טורינו,ונציה,רומא,1,1
68,גאוגרפיה,נכון או לא נכון: הרי האלפים נמצאים באירופה.,נכון,לא נכון,,,נכון,1,0
69,גאוגרפיה,באיזו מדינה נמצא הר האוורסט?,סין,נפאל,הודו,בהוטן,נפאל,2,1
70,גאוגרפיה,איזו מדינה בצורת מגף?,יוון,איטליה,טורקיה,שוויץ,איטליה,2,1
71,גאוגרפיה,מהי עיר הבירה של קנדה?,טורונטו,מונטריאול,ונקובר,אוטווה,אוטווה,2,3
72,גאוגרפיה,מהי עיר הבירה של צרפת?,בריסל,רומא,פריז,מדריד,פריז,1,2
73,גאוגרפיה,באיזו יבשת נמצאת קניה?,אסיה,אפריקה,אירופה,אוסטרליה,אפריקה,1,1
74,גאוגרפיה,איזו מדינה ידועה בזכות מגדל פיזה?,ספרד,איטליה,פורטוגל,צרפת,איטליה,1,1
75,גאוגרפיה,נכון או לא נכון: לישראל יש גבול יבשתי עם לבנון.,נכון,לא נכון,,,נכון,1,0
76,גאוגרפיה,מהו הים שמפריד בין ישראל לירדן?,הים התיכון,ים סוף,ים המלח,הים האדום,ים המלח,1,2
77,גאוגרפיה,מהי עיר הבירה של צרפת?,בריסל,רומא,פריז,מדריד,פריז,1,2
78,גאוגרפיה,באיזו יבשת נמצאת קניה?,אסיה,אפריקה,אירופה,אוסטרליה,אפריקה,1,1
79,גאוגרפיה,איזו מדינה ידועה בזכות מגדל פיזה?,ספרד,איטליה,פורטוגל,צרפת,איטליה,1,1
80,גאוגרפיה,נכון או לא נכון: לישראל יש גבול יבשתי עם לבנון.,נכון,לא נכון,,,נכון,1,0
81,גאוגרפיה,מהו הים שמפריד בין ישראל לירדן?,הים התיכון,ים סוף,ים המלח,הים האדום,ים המלח,1,2
82,גאוגרפיה,איזו מדינה נמצאת דרומית לישראל?,מצרים,לבנון,סוריה,ירדן,מצרים,1,0
83,גאוגרפיה,מהי עיר הבירה של אנגליה?,לונדון,מנצ'סטר,ברמינגהם,ליברפול,לונדון,1,0
84,גאוגרפיה,באיזו יבשת נמצאת ארגנטינה?,אסיה,אפריקה,דרום אמריקה,אירופה,דרום אמריקה,1,2
85,גאוגרפיה,נכון או לא נכון: פורטוגל גובלת בספרד.,נכון,לא נכון,,,נכון,1,0
86,גאוגרפיה,מהי עיר הבירה של גרמניה?,ברלין,פרנקפורט,מינכן,המבורג,ברלין,1,0
87,גאוגרפיה,מהי עיר הבירה של יוון?,אתונה,סלוניקי,כרתים,פטרה,אתונה,2,0
88,גאוגרפיה,מהי המדינה הגדולה ביותר בדרום אמריקה?,ברזיל,ארגנטינה,צ'ילה,ונצואלה,ברזיל,2,0
89,גאוגרפיה,באיזו מדינה נמצא נהר הסיין?,בלגיה,גרמניה,צרפת,שוויץ,צרפת,2,2
90,גאוגרפיה,איזו מדינה כוללת את העיר מרקש?,אלג'יריה,מרוקו,טוניסיה,לוב,מרוקו,2,1
91,גאוגרפיה,איזה מהבאים הוא אי?,נורבגיה,שבדיה,איסלנד,פינלנד,איסלנד,2,2
92,גאוגרפיה,מהי עיר הבירה של קזחסטן?,אסטנה,אלמטי,טשקנט,נור-סולטן,אסטנה,3,0
93,גאוגרפיה,איזה אוקיינוס נמצא ממערב לאפריקה?,האוקיינוס ההודי,האוקיינוס השקט,הים התיכון,האוקיינוס האטלנטי,האוקיינוס האטלנטי,3,3
94,גאוגרפיה,באיזו מדינה נמצא הר הקילימנג'רו?,קניה,טנזניה,אוגנדה,רואנדה,טנזניה,3,1
95,גאוגרפיה,איזו מדינה גובלת גם בצרפת וגם בבלגיה?,הולנד,שוויץ,גרמניה,ספרד,גרמניה,3,2
96,גאוגרפיה,מהי עיר הבירה של תאילנד?,פוקט,צ'אנג מאי,קואלה לומפור,בנגקוק,בנגקוק,1,3
97,גאוגרפיה,מהי המדינה בעלת מספר האיים הגדול ביותר?,אינדונזיה,נורבגיה,שבדיה,פינלנד,שבדיה,4,2
98,גאוגרפיה,איזו מדינה נמצאת גם באירופה וגם באסיה?,רוסיה,קזחסטן,טורקיה,כולן נכונות,כולן נכונות,4,3
99,גאוגרפיה,איזו עיר נמצאת הכי צפונית?,ברגן,רייקיאוויק,אוסלו,טרומסה,טרומסה,4,3
100,גאוגרפיה,איזה מדבר הוא הגדול ביותר בעולם?,סהרה,גובי,ארקטי,המדבר האנטארקטי,המדבר האנטארקטי,4,3
101,גאוגרפיה,מהו המקום היבש ביותר על פני כדור הארץ?,סהרה,מדבר אטקמה,אנטארקטיקה,מדבר נמיב,אנטארקטיקה,5,2
102,גאוגרפיה,איזו מדינה היא היחידה שמתחילה באות O באנגלית?,אוגנדה,אורוגוואי,אוקראינה,עומאן,עומאן,5,3
103,גאוגרפיה,מהי עיר הבירה של ברזיל?,סאו פאולו,ברזיליה,ריו דה ז'ניירו,קוריטיבה,ברזיליה,2,1
104,גאוגרפיה,באיזו יבשת נמצאת פינלנד?,אסיה,אירופה,אפריקה,אוסטרליה,אירופה,1,1
105,גאוגרפיה,איזו מדינה מוקפת כולה ביבשת דרום אפריקה?,לסוטו,סוואזילנד,נמיביה,בוטסואנה,לסוטו,3,0
106,גאוגרפיה,מהו שמה של רצועת היבשה שמחברת בין אסיה לאפריקה?,חצי האי ערב,רצועת עזה,סיני,לבנט,סיני,3,2
107,גאוגרפיה,איזו עיר נקראת 'עיר הרוחות'?,שיקגו,טורונטו,לונדון,סיאטל,שיקגו,3,0
108,גאוגרפיה,באיזו מדינה נמצא קו המשווה?,ברזיל,קולומביה,קניה,כולן נכונות,כולן נכונות,4,3
109,גאוגרפיה,איזו עיר שוכנת לחופי ים המלח?,אילת,יריחו,ערד,עין גדי,עין גדי,2,3
110,גאוגרפיה,מהי עיר הבירה של ניו זילנד?,אוקלנד,וולינגטון,דנידין,קרייסטצ'רץ',וולינגטון,3,1
111,גאוגרפיה,מהו האי הגדול בעולם שאינו יבשת?,גרינלנד,אוסטרליה,מדגסקר,ניו גינאה,גרינלנד,3,0
112,גאוגרפיה,מהי המדינה הכי ארוכה בעולם מצפון לדרום?,צ'ילה,קנדה,רוסיה,ברזיל,צ'ילה,4,0
113,גאוגרפיה,אני שותה קוקוס בפוקט. קו המשווה:,מעלי,מתחתי,,,מתחתי,2,1
114,גאוגרפיה,הים הכי נמוך בעולם:,ים הפחד,ים המוות,ים המלח,ים הגעש,ים המלח,2,2
115,גאוגרפיה,יש לי פסוריאזיס. אמרו לי שטבילה בים המלח תעזור. לאן עליי לנסוע?,ירדן,טורקיה,ישראל,לחלל,ישראל,1,2
116,גאוגרפיה,אני מדווש על אופניים באמסטרדם. באיזו מדינה אני?,אמסטרדם,הולנד,שבדיה,צרפת,הולנד,1,1
117,גאוגרפיה,אני מטייל על החומה הגדולה. אני נמצא ב...,סין,גרמניה,הודו,קוריאה,סין,2,0
118,גאוגרפיה,עליתי לרכבל הכי גבוה באירופה – נוף עוצר נשימה. איפה אני?,שוויץ,צרפת,איטליה,אוסטריה,צרפת,3,1
119,גאוגרפיה,"אני טובל באונסן, נושם אדים, ואוכל סושי. איפה אני?",סין,יפן,קוריאה,תאילנד,יפן,2,1
120,גאוגרפיה,אני אוכל סושי בטוקיו. באיזו יבשת אני?,אירופה,אפריקה,אסיה,אוקיאניה,אסיה,1,2
121,גאוגרפיה,יצאתי לשייט על הדנובה. באיזו יבשת אני?,אסיה,אירופה,אפריקה,דרום אמריקה,אירופה,2,1
122,גאוגרפיה,חבר שלי מטייל בברצלונה. באיזו מדינה הוא?,פורטוגל,ספרד,צרפת,איטליה,ספרד,1,1
123,גאוגרפיה,הגעתי לביקור בעיר הבירה הכי גבוהה בעולם – לה פאס. באיזו מדינה אני?,צ'ילה,פרו,בוליביה,קולומביה,בוליביה,3,2
124,גאוגרפיה,עשיתי סלפי על גשר לונדון. באיזו מדינה אני?,אנגליה,סקוטלנד,אירלנד,ויילס,אנגליה,1,0
125,גאוגרפיה,נכון או לא נכון: צפון קוריאה ודרום קוריאה חולקות גבול יבשתי.,נכון,לא נכון,,,נכון,2,0
126,גאוגרפיה,אני שוחה במפרץ תאילנד. מהי עיר הבירה של המדינה שאני בה?,מנילה,האנוי,בנגקוק,קואלה לומפור,בנגקוק,2,2
127,גאוגרפיה,נחתי בשדה התעופה בן-גוריון. באיזו מדינה אני?,לבנון,ישראל,ירדן,מצרים,ישראל,1,1
128,גאוגרפיה,טיילתי ליד פסל החירות. איפה אני?,וושינגטון,בוסטון,ניו יורק,פילדלפיה,ניו יורק,1,2
129,גאוגרפיה,נסעתי לבקר את מגדל פיזה. מה שם המדינה שבה אני מטייל?,צרפת,איטליה,ספרד,שווייץ,איטליה,1,1
130,גאוגרפיה,אני עומד ליד מגדל אייפל. באיזו מדינה אני?,צרפת,גרמניה,,,צרפת,1,0
131,גאוגרפיה,נכון או לא נכון: אוסטרליה היא גם מדינה וגם יבשת.,נכון,לא נכון,,,נכון,2,0
132,גאוגרפיה,אני חוצה את הגבול מגבול טאבה. לאיזו מדינה נכנסתי?,מצרים,ירדן,סוריה,עיראק,מצרים,2,0
133,גאוגרפיה,שחיתי ליד פסל החירות. איפה זה?,ניו יורק,וושינגטון,בוסטון,שיקגו,ניו יורק,1,0
134,גאוגרפיה,נסעתי לראות את הקרחון הגדול בפטגוניה. איפה אני?,צ'ילה,ארגנטינה,ברזיל,פרו,ארגנטינה,3,1
135,גאוגרפיה,איזו מדינה נחשבת ל'ארץ השמש העולה'?,יפן,סין,הודו,תאילנד,יפן,3,0
136,גאוגרפיה,אני שותה מים מהנילוס. באיזו מדינה כנראה אני?,מצרים,קניה,סודן,ניגריה,מצרים,2,0
137,גאוגרפיה,באיזו עיר אירופאית זורם נהר התמזה?,לונדון,פריז,ברלין,אמסטרדם,לונדון,2,0
138,גאוגרפיה,מהי עיר הבירה של מרוקו?,קזבלנקה,רבאט,טנג'יר,פז,רבאט,3,1
139,גאוגרפיה,באיזו מדינה נמצא הר הפוג'י?,סין,יפן,קוריאה,הודו,יפן,2,1
140,גאוגרפיה,הייתי במדינה הכי שטוחה בעולם – אין הרים בכלל. היכן הייתי?,הולנד,מלטה,דנמרק,ניז'ר,הולנד,4,0
141,גאוגרפיה,איזו מדינה שוכנת בשני חצאי כדור – צפוני ודרומי?,קניה,אינדונזיה,אקוודור,כולן נכונות,כולן נכונות,4,3
142,גאוגרפיה,באיזו מדינה יש הכי הרבה אזורי זמן?,רוסיה,צרפת,סין,"ארה""ב",צרפת,5,1
143,גאוגרפיה,אני במדינה שאין בה שום נהר טבעי. איפה אני?,לוב,בחריין,ערב הסעודית,כווית,בחריין,5,1
144,גאוגרפיה,אני בממלכה היחידה בדרום אמריקה. איפה אני?,ברזיל,פרו,סורינם,אין כזו,אין כזו,4,3
145,גאוגרפיה,נכון או לא נכון: ישראל גובלת בשלוש מדינות בלבד.,נכון,לא נכון,,,לא נכון,2,1
146,גאוגרפיה,איזו עיר בירה שוכנת הכי צפונית?,הלסינקי,רייקיאוויק,אוסלו,שטוקהולם,רייקיאוויק,4,1
147,גאוגרפיה,חציתי את גשר ברוקלין. באיזו יבשת אני?,אירופה,אסיה,אמריקה,אפריקה,אמריקה,1,2
148,גאוגרפיה,מהו המקום הנמוך ביותר באפריקה?,אגם ויקטוריה,ים סוף,מדבר דנקל,הנילוס,מדבר דנקל,5,2
149,גאוגרפיה,"עליתי לגובה 8,848 מטר. על איזה הר טיפסתי?",קילימנג'רו,אברסט,מאטרהורן,אנדים,אברסט,3,1
150,מדע וטבע,מהי צורת המים בטמפרטורה של 0 מעלות צלזיוס?,נוזל,מוצק,,,מוצק,1,1
151,מדע וטבע,נכון או לא נכון: השמש היא כוכב.,נכון,לא נכון,,,נכון,1,0
152,מדע וטבע,באיזה איבר בגוף מתרחש תהליך הנשימה הפנימית?,ריאות,לב,כבד,קיבה,ריאות,2,0
153,מדע וטבע,איזה חומר בטבע הוא הקשה ביותר?,ברזל,יהלום,נחושת,פלדה,יהלום,2,1
154,מדע וטבע,איזה כוכב לכת ידוע בכינוי 'הכוכב האדום'?,שבתאי,מאדים,צדק,נוגה,מאדים,1,1
155,מדע וטבע,מהו איבר החישה של נחשים במקום אוזניים?,עיניים,לשון,קשקשים,רגליים,לשון,2,1
156,מדע וטבע,מהו מרכיב עיקרי באוויר?,חמצן,פחמן דו-חמצני,חנקן,הידרוגן,חנקן,2,2
157,מדע וטבע,נכון או לא נכון: פלפל חריף צורב בגלל חומצה.,נכון,לא נכון,,,לא נכון,2,1
158,מדע וטבע,כמה רגליים יש לעכביש?,6,8,10,12,8,1,1
159,מדע וטבע,מהו איבר התחושה של הפרפרים להרחה?,חוטים,כנפיים,רגליים,חדק,רגליים,3,2
160,מדע וטבע,מהי יחידת המידה לאנרגיה במערכת הבינלאומית?,ניוטון,ואט,ג'ול,קלוריה,ג'ול,3,2
161,מדע וטבע,מהי שכבת האטמוספירה שבה מתרחש מזג האוויר?,סטרטוספירה,אקסוספירה,מזוספירה,טרופוספירה,טרופוספירה,3,3
162,מדע וטבע,מה שוקל יותר: קילוגרם נוצות או קילוגרם ברזל?,הנוצות,הברזל,זהים,לא ניתן לדעת,זהים,3,2
163,מדע וטבע,מהו איבר הגוף הגדול ביותר?,הכבד,העור,הריאות,המעי הדק,העור,3,1
164,מדע וטבע,כמה כוכבים יש במערכת השמש?,אחד,שניים,שמונה,אין,אחד,3,0
165,מדע וטבע,איזה יסוד כימי מופיע ראשון בטבלה המחזורית?,חמצן,מימן,פחמן,ניטרוגן,מימן,4,1
166,מדע וטבע,באיזו יחידה מודדים תדירות גלים?,ג'ול,הרץ,ניוטון,אמפר,הרץ,4,1
167,מדע וטבע,כמה עצמות יש בגוף האדם הבוגר?,206,212,198,185,206,4,0
168,מדע וטבע,נכון או לא נכון: האטום בנוי משני חלקיקים בלבד.,נכון,לא נכון,,,לא נכון,4,1
169,מדע וטבע,מהו הכוכב החם ביותר במערכת השמש אחרי השמש עצמה?,צדק,נוגה,מאדים,מרקורי,נוגה,5,1
170,מדע וטבע,מהי יחידת המידה לזרם חשמלי?,ואט,אמפר,וולט,ניוטון,אמפר,3,1
171,מדע וטבע,איזו מערכת בגוף אחראית על הובלת חמצן?,העיכול,העצבים,הדם,השרירים,הדם,2,2
172,מדע וטבע,נכון או לא נכון: שמן שוקל יותר ממים.,נכון,לא נכון,,,לא נכון,2,1
173,מדע וטבע,כמה שיניים קבועות יש למבוגר?,28,30,32,34,32,2,2
174,מדע וטבע,מהי הפלנטה הגדולה ביותר במערכת השמש?,שבתאי,צדק,נוגה,אורנוס,צדק,2,1
175,מדע וטבע,מה שמה של תכונת החומר להתנגד לשינוי בתנועה?,כבידה,אינרציה,תנע,תאוצה,אינרציה,3,1
176,מדע וטבע,מהי שכבת העור העליונה ביותר?,שכבת השומן,אפידרמיס,דרמיס,קרנית,אפידרמיס,3,1
177,מדע וטבע,מהו תפקיד הכליות?,לייצר חמצן,להפריש פסולת,לעכל שומנים,לווסת נשימה,להפריש פסולת,2,1
178,מדע וטבע,נכון או לא נכון: צמחים קולטים חמצן ונפלט פחמן דו-חמצני.,נכון,לא נכון,,,לא נכון,2,1
179,מדע וטבע,מהו חומר התורשה בתאים?,DNA,חלבון,שומן,גלוקוז,DNA,1,0
180,מדע וטבע,איזה כוכב לכת הוא החם ביותר במערכת השמש?,נוגה,מאדים,מרקורי,צדק,נוגה,3,0
181,מדע וטבע,מהי יחידת המדידה של עוצמת קול?,ואט,הרץ,דציבל,ניוטון,דציבל,2,2
182,מדע וטבע,כמה לבבות יש לתמנון?,אחד,שניים,שלושה,חמישה,שלושה,4,2
183,מדע וטבע,מהו היסוד הנפוץ ביותר ביקום?,מימן,חמצן,פחמן,ברזל,מימן,2,0
184,מדע וטבע,מהי מערכת השרירים הקטנה ביותר בגוף?,עין,לשון,אוזן,אצבע,אוזן,3,2
185,מדע וטבע,איזה גז חיוני לתהליך הפוטוסינתזה?,חמצן,חנקן,פחמן דו-חמצני,מימן,פחמן דו-חמצני,2,2
186,מדע וטבע,מהו איבר הגוף שמייצר אינסולין?,כבד,לב,לבלב,טחול,לבלב,2,2
187,מדע וטבע,איזה חלק בגוף אחראי על שיווי משקל?,העין,האוזן הפנימית,המוחון,עמוד השדרה,האוזן הפנימית,3,1
188,מדע וטבע,מהי תכונתו של מגנט?,שואב מים,יוצר חום,מושך מתכות,דוחה גזים,מושך מתכות,1,2
189,מדע וטבע,באיזו טמפרטורה מים רותחים?,100°C,90°C,0°C,120°C,100°C,1,0
190,מדע וטבע,מהי הפלנטה עם טבעות בולטות סביב לה?,שבתאי,צדק,נוגה,מרקורי,שבתאי,2,0
191,מדע וטבע,מהי קבוצת הדם הנדירה ביותר?,O,A,AB,B,AB,3,2
192,מדע וטבע,מהי החיה היבשתית הגדולה ביותר?,פיל אפריקאי,גורילה,היפופוטם,תאו,פיל אפריקאי,2,0
193,מדע וטבע,מהו צבע הדם של תמנון?,אדום,כחול,שקוף,ירוק,כחול,4,1
194,מדע וטבע,איזה חלק בגוף האדם שולט על כל שאר האיברים?,לב,כבד,מוח,ריאות,מוח,1,2
195,מדע וטבע,מהי הצורה הנפוצה ביותר של מים בטבע?,נוזל,מוצק,גז,פלזמה,נוזל,1,0
196,מדע וטבע,כמה רגליים יש לחרגול?,6,8,10,12,6,1,0
197,מדע וטבע,מהו החומר שמעניק לצמחים את צבעם הירוק?,כלורופיל,חמצן,גלוקוז,חנקן,כלורופיל,2,0
198,מדע וטבע,איזה כוכב לכת נחשב לקטן ביותר במערכת השמש?,מרקורי,מאדים,נוגה,שבתאי,מרקורי,2,0
199,מדע וטבע,מהי עצם השמיעה הקטנה ביותר בגוף?,ארכובה,פיקה,פטיש,שבלול,ארכובה,3,0
200,מדע וטבע,מהי יחידת המידה ללחץ?,ואט,הרץ,פסקל,ניוטון,פסקל,3,2
201,מדע וטבע,מהו איבר החישה של עטלף?,עיניים,שיניים,שמיעה,חוטם,שמיעה,3,2
202,מדע וטבע,כמה זמן לוקח לאור מהשמש להגיע לכדור הארץ?,שנייה,8 דקות,שעה,יום,8 דקות,4,1
203,מדע וטבע,איזה יצור חי נחשב לאיטי ביותר?,צב,עצלן,אלמוג,שבלול גן,שבלול גן,2,3
204,מדע וטבע,כמה שיניים יש לאדם בוגר?,28,30,32,34,32,1,2
205,מדע וטבע,מהי הפלנטה היחידה במערכת השמש עם חיים מוכחים?,מאדים,נוגה,כדור הארץ,שבתאי,כדור הארץ,1,2
206,מדע וטבע,איזו חיה נחשבת לפלנטרית הגדולה ביותר?,פיל,כריש לווייתני,תנין,ג'ירפה,כריש לווייתני,2,1
207,מדע וטבע,מהי קבוצת הדם הנפוצה ביותר?,A,B,AB,O,O,2,3
208,מדע וטבע,מהי הסיבה העיקרית להיווצרות קשת בענן?,שבירה של אור,החזרת קול,רעש,חום,שבירה של אור,2,0